[DATA] Client: d43ff682-8415-4f2a-a535-66f5df50f3b4 | Fuel: 47.8651 | Consumption: 0
[DATA] Client: d43ff682-8415-4f2a-a535-66f5df50f3b4 | Fuel: 47.865 | Consumption: 0.000102997
[DATA] Client: d43ff682-8415-4f2a-a535-66f5df50f3b4 | Fuel: 47.8649 | Consumption: 9.53674e-05
[DATA] Client: d43ff682-8415-4f2a-a535-66f5df50f3b4 | Fuel: 47.8648 | Consumption: 9.91821e-05
[DATA] Client: d43ff682-8415-4f2a-a535-66f5df50f3b4 | Fuel: 47.8647 | Consumption: 9.91821e-05
[DATA] Client: d43ff682-8415-4f2a-a535-66f5df50f3b4 | Fuel: 47.8646 | Consumption: 0.000102997
[DATA] Client: 38fb040d-8f00-4985-ba23-865001f81b1f | Fuel: 47.8651 | Consumption: 0
[DATA] Client: 38fb040d-8f00-4985-ba23-865001f81b1f | Fuel: 47.865 | Consumption: 0.000102997
[DATA] Client: 38fb040d-8f00-4985-ba23-865001f81b1f | Fuel: 47.8649 | Consumption: 9.53674e-05
[DATA] Client: 38fb040d-8f00-4985-ba23-865001f81b1f | Fuel: 47.8648 | Consumption: 9.91821e-05
[DATA] Client: 38fb040d-8f00-4985-ba23-865001f81b1f | Fuel: 47.8647 | Consumption: 9.91821e-05
[DATA] Client: 38fb040d-8f00-4985-ba23-865001f81b1f | Fuel: 47.8646 | Consumption: 0.000102997
[DATA] Client: 38fb040d-8f00-4985-ba23-865001f81b1f | Fuel: 47.8645 | Consumption: 9.53674e-05
[DATA] Client: 38fb040d-8f00-4985-ba23-865001f81b1f | Fuel: 47.8644 | Consumption: 9.91821e-05
[DATA] Client: 38fb040d-8f00-4985-ba23-865001f81b1f | Fuel: 47.8643 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8651 | Consumption: 0
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.865 | Consumption: 0.000102997
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8649 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8648 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8647 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8646 | Consumption: 0.000102997
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8645 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8644 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8643 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8642 | Consumption: 0.000102997
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8641 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.864 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8639 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8638 | Consumption: 0.000102997
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8637 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8636 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8635 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8634 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8633 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8632 | Consumption: 0.000102997
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8631 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.863 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8629 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8628 | Consumption: 0.000102997
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8627 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8626 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8625 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8624 | Consumption: 0.000102997
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8623 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8622 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8622 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.862 | Consumption: 0.000102997
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8619 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8619 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8618 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8617 | Consumption: 0.000102997
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8616 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8615 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8614 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8613 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8612 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8611 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.861 | Consumption: 0.000102997
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8609 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8608 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8607 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8606 | Consumption: 0.000102997
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8605 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8604 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8603 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8602 | Consumption: 0.000102997
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8601 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.86 | Consumption: 9.91821e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8599 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8598 | Consumption: 9.53674e-05
[DATA] Client: 7d123c57-cc92-4a90-a018-eddf9f70efc9 | Fuel: 47.8597 | Consumption: 0.000102997
