[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.7026 | Consumption: 0
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.7022 | Consumption: 0.000411987
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.7018 | Consumption: 0.000331879
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.7013 | Consumption: 0.000545502
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.701 | Consumption: 0.000247955
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.7008 | Consumption: 0.000255585
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.7005 | Consumption: 0.000263214
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.7003 | Consumption: 0.000263214
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.7 | Consumption: 0.000270844
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6997 | Consumption: 0.000263214
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6995 | Consumption: 0.000267029
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6992 | Consumption: 0.000263214
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6989 | Consumption: 0.000270844
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6987 | Consumption: 0.000263214
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6984 | Consumption: 0.000263214
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6981 | Consumption: 0.000267029
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6979 | Consumption: 0.000263214
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6976 | Consumption: 0.000270844
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6973 | Consumption: 0.000263214
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6971 | Consumption: 0.000263214
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6968 | Consumption: 0.000270844
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6965 | Consumption: 0.000263214
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6963 | Consumption: 0.000267029
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.696 | Consumption: 0.000267029
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6957 | Consumption: 0.000267029
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6955 | Consumption: 0.000267029
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6952 | Consumption: 0.000267029
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6949 | Consumption: 0.000263214
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6947 | Consumption: 0.000263214
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6944 | Consumption: 0.000270844
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6941 | Consumption: 0.000263214
[DATA] Client: 0bd29486-ac8a-458d-8daf-1c73a1d07aa1 | Fuel: 41.6939 | Consumption: 0.000267029
